INFO 2022-11-07 20:33:26 {'user': 'gregory.faupin', 'cart': 4961, 'order': 471, 'produit': 751, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:33:47 {'user': 'gregory.faupin', 'cart': 4962, 'order': 471, 'produit': 719, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:33:47 {'user': 'gregory.faupin', 'cart': 4962, 'order': 471, 'produit': 719, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:34:01 {'user': 'gregory.faupin', 'cart': 4963, 'order': 471, 'produit': 487, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:34:01 {'user': 'gregory.faupin', 'cart': 4963, 'order': 471, 'produit': 487, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:34:51 {'user': 'gregory.faupin', 'cart': 4964, 'order': 471, 'produit': 676, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:34:51 {'user': 'gregory.faupin', 'cart': 4964, 'order': 471, 'produit': 676, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:35:03 {'user': 'gregory.faupin', 'cart': 4965, 'order': 471, 'produit': 760, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:35:03 {'user': 'gregory.faupin', 'cart': 4965, 'order': 471, 'produit': 760, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:35:14 {'user': 'gregory.faupin', 'cart': 4966, 'order': 471, 'produit': 792, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:35:14 {'user': 'gregory.faupin', 'cart': 4966, 'order': 471, 'produit': 792, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:35:38 {'user': 'gregory.faupin', 'cart': 4967, 'order': 471, 'produit': 740, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:35:38 {'user': 'gregory.faupin', 'cart': 4967, 'order': 471, 'produit': 740, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
